iter	Passed	Remaining
0	1	1975
1	2	1209
2	3	1006
3	3	895
4	3	781
5	4	743
6	4	685
7	5	703
8	6	673
9	6	657
10	6	628
11	7	636
12	8	651
13	9	652
14	9	643
15	10	650
16	10	628
17	11	608
18	11	589
19	11	575
20	12	583
21	13	579
22	13	573
23	13	560
24	14	550
25	14	539
26	14	532
27	15	534
28	15	532
29	16	530
30	16	530
31	17	523
32	17	523
33	18	517
34	18	512
35	18	508
36	19	515
37	20	515
38	20	512
39	21	507
40	21	500
41	21	501
42	22	495
43	22	490
44	23	492
45	23	491
46	24	495
47	25	497
48	25	501
49	26	496
50	26	491
51	26	485
52	27	482
53	27	485
54	27	481
55	28	480
56	29	483
57	29	483
58	30	482
59	30	477
60	30	473
61	31	471
62	31	470
63	32	470
64	32	472
65	33	470
66	33	469
67	34	469
68	34	466
69	34	464
70	35	466
71	36	469
72	36	469
73	37	469
74	37	468
75	38	468
76	39	470
77	39	472
78	40	472
79	41	473
80	41	473
81	42	473
82	43	475
83	43	475
84	44	474
85	44	473
86	44	470
87	45	469
88	45	467
89	46	465
90	46	464
91	47	464
92	47	463
93	47	460
94	48	459
95	48	459
96	49	457
97	49	454
98	49	452
99	50	450
100	50	448
101	50	447
102	51	445
103	51	444
104	52	444
105	52	441
106	52	441
107	53	440
108	53	441
109	54	442
110	55	441
111	55	441
112	55	438
113	56	438
114	56	436
115	57	435
116	57	433
117	58	435
118	58	435
119	59	435
120	59	434
121	60	432
122	60	432
123	61	431
124	61	429
125	61	428
126	62	427
127	62	427
128	63	426
129	63	424
130	63	423
131	64	423
132	64	422
133	65	422
134	65	421
135	66	420
136	66	419
137	67	420
138	68	421
139	68	420
140	68	418
141	69	418
142	69	417
143	70	417
144	70	417
145	71	416
146	71	415
147	71	414
148	72	412
149	72	411
150	73	411
151	73	409
152	73	408
153	74	407
154	74	407
155	75	407
156	75	407
157	76	406
158	76	405
159	77	405
160	77	403
161	77	403
162	78	402
163	79	402
164	79	401
165	79	401
166	80	400
167	80	400
168	81	399
169	81	398
170	81	397
171	82	398
172	83	397
173	83	396
174	84	396
175	84	395
176	84	394
177	85	393
178	85	392
179	85	390
180	86	390
181	86	390
182	87	389
183	88	390
184	88	390
185	89	390
186	89	390
187	90	391
188	91	391
189	91	391
190	92	390
191	92	389
192	92	388
193	93	388
194	93	387
195	94	386
196	94	386
197	95	384
198	95	384
199	95	383
200	96	382
201	96	381
202	96	380
203	97	378
204	97	378
205	97	376
206	98	376
207	98	375
208	99	375
209	99	374
210	99	373
211	100	372
212	100	371
213	100	370
214	101	369
215	101	368
216	102	368
217	102	367
218	102	366
219	103	366
220	103	365
221	104	365
222	104	364
223	104	363
224	105	362
225	105	361
226	106	361
227	106	360
228	107	360
229	107	360
230	108	360
231	108	359
232	109	359
233	109	359
234	110	360
235	111	359
236	111	359
237	112	359
238	112	358
239	112	357
240	113	357
241	113	356
242	114	356
243	114	355
244	115	354
245	115	353
246	115	353
247	116	353
248	116	351
249	117	352
250	118	352
251	118	352
252	119	351
253	119	350
254	119	350
255	120	349
256	120	348
257	121	348
258	121	347
259	121	346
260	122	346
261	122	345
262	123	345
263	123	344
264	124	344
265	125	345
266	125	345
267	126	345
268	127	345
269	127	344
270	127	343
271	128	343
272	129	344
273	130	344
274	130	343
275	130	342
276	130	341
277	131	341
278	131	340
279	132	340
280	132	339
281	133	339
282	133	338
283	134	338
284	134	337
285	134	336
286	135	335
287	135	335
288	136	335
289	137	335
290	137	335
291	138	335
292	138	335
293	139	335
294	140	334
295	140	334
296	141	333
297	141	333
298	142	333
299	142	332
300	142	331
301	143	331
302	143	330
303	144	329
304	144	329
305	144	328
306	145	327
307	145	326
308	146	326
309	146	325
310	146	324
311	146	324
312	147	323
313	147	323
314	148	322
315	148	322
316	149	321
317	149	320
318	150	320
319	150	319
320	150	319
321	151	318
322	151	318
323	152	317
324	152	317
325	153	316
326	153	316
327	154	315
328	154	315
329	154	314
330	155	314
331	155	313
332	156	313
333	157	313
334	157	313
335	158	313
336	158	312
337	159	312
338	159	311
339	160	310
340	160	309
341	161	310
342	161	309
343	162	308
344	162	308
345	162	307
346	163	306
347	163	306
348	164	306
349	165	306
350	165	306
351	166	305
352	166	305
353	166	304
354	167	304
355	167	303
356	167	302
357	168	302
358	169	302
359	169	302
360	170	301
361	170	301
362	171	300
363	171	299
364	171	298
365	172	298
366	172	297
367	172	296
368	173	296
369	173	295
370	174	295
371	174	294
372	175	294
373	175	293
374	175	292
375	175	292
376	176	291
377	176	290
378	177	290
379	177	289
380	177	289
381	178	288
382	178	288
383	179	287
384	179	287
385	180	286
386	180	286
387	181	286
388	182	286
389	182	285
390	183	285
391	183	284
392	184	284
393	184	283
394	184	283
395	185	282
396	185	282
397	186	281
398	186	281
399	187	281
400	187	280
401	188	280
402	188	279
403	189	279
404	190	279
405	190	278
406	190	278
407	191	277
408	191	277
409	192	276
410	192	276
411	193	275
412	193	275
413	193	274
414	194	274
415	194	273
416	195	272
417	195	272
418	196	272
419	197	272
420	197	272
421	198	271
422	199	271
423	199	271
424	200	270
425	200	270
426	201	270
427	202	270
428	202	269
429	203	269
430	203	268
431	204	268
432	204	268
433	205	267
434	205	267
435	206	266
436	206	266
437	207	265
438	207	265
439	208	264
440	208	264
441	209	264
442	209	263
443	210	263
444	210	262
445	211	262
446	211	261
447	212	261
448	213	261
449	213	260
450	213	260
451	214	259
452	214	259
453	215	258
454	215	258
455	216	257
456	216	257
457	217	257
458	218	257
459	218	256
460	219	256
461	219	256
462	220	255
463	220	254
464	221	254
465	221	253
466	221	253
467	222	252
468	222	252
469	223	251
470	223	250
471	223	250
472	224	249
473	224	249
474	225	248
475	225	248
476	225	247
477	226	247
478	226	246
479	227	246
480	227	245
481	228	245
482	228	245
483	229	244
484	229	244
485	230	243
486	230	242
487	230	242
488	231	241
489	231	240
490	231	239
491	231	239
492	232	238
493	232	238
494	232	237
495	233	237
496	233	236
497	234	236
498	234	235
499	235	235
500	235	234
501	236	234
502	236	233
503	237	233
504	237	232
505	237	232
506	238	231
507	238	231
508	239	230
509	239	230
510	239	229
511	240	229
512	240	228
513	241	228
514	241	227
515	242	227
516	242	226
517	243	226
518	243	225
519	244	225
520	244	224
521	244	224
522	245	223
523	245	223
524	246	222
525	246	222
526	246	221
527	247	221
528	247	220
529	248	220
530	249	220
531	249	219
532	250	219
533	250	218
